Case ID,Title,Concept Tag,OSI Layer,Severity,Symptom,Expected Fault,Deterministic Rule,AI Confidence,Human Review Status,Reviewer Notes
NET-CASE-001,PC in VLAN 10 Cannot Ping Default Gateway,VLAN,Layer 2,High,"Host PC-1 (192.168.10.50/24) cannot reach its default gateway 192.168.10.1 on Router R1. Link light on switch is amber.","Switch port Fa0/1 is assigned to VLAN 1 (default) instead of VLAN 10.",CHECK_VLAN_TRUNK,98%,Accepted,"Diagnosis is accurate and evidence directly matches the show run output. Approved fix."
NET-CASE-002,Inter-VLAN Routing Fails on Router-on-a-Stick,VLAN,Layer 2,Critical,"PC-1 (VLAN 10, 192.168.10.10) can ping its gateway 192.168.10.1, but cannot ping PC-2 (VLAN 20, 192.168.20.10).","Parent physical interface GigabitEthernet0/0 on Router R1 is administratively down (shutdown).",CHECK_INT_STATUS,99%,Accepted,"Classic subinterface prerequisite oversight. Verified parent interface must be brought up."
NET-CASE-003,Subnet Mask Mismatch Preventing Gateway Ping,Gateway,Layer 3,Medium,"Host PC-3 (10.0.1.130) cannot ping default gateway 10.0.1.1 on Router R2. Neighbor PC-4 (10.0.1.50) has no issues.","PC-3 is configured with a /25 mask (255.255.255.128). IP 10.0.1.130 falls in range 10.0.1.128-10.0.1.255, making gateway 10.0.1.1 appear off-subnet.",CHECK_IP_SUBNET,95%,Accepted,"Correct calculation of /25 boundary split. Verified."
NET-CASE-004,DHCP Scope Exhaustion in Office Subnet,DHCP,Layer 7,High,"New laptop in Branch-1 gets APIPA address 169.254.x.x instead of receiving an IP from router DHCP server.","The DHCP pool subnet is a /28 (16 addresses), only providing 13 usable client IPs. All 13 addresses are leased.",CHECK_DHCP_EXHAUSTION,97%,Accepted,"Pool size expanded to /24. Clearing leases will allow laptop to acquire IP instantly."
NET-CASE-005,Extended ACL Blocking Web Traffic Due to Inverted Wildcard Mask,ACL,Layer 4,Critical,"Branch workstation PC-10 (172.16.10.25) cannot browse internal web server at 10.10.10.80 (HTTP port 80). Router drops packets.","ACL 101 line 10 used a subnet mask (255.255.255.0) instead of an inverted wildcard mask (0.0.0.255).",CHECK_ACL_BLOCK,96%,Edited,"AI identified wildcard mask error correctly, but also forgot that DNS (UDP 53) and HTTPS (TCP 443) may be needed. Added permit for port 443 and domain."
NET-CASE-006,OSPF Neighbor Adjacency Down Due to Area ID Mismatch,Routing,Layer 3,Critical,"Routers R1 and R2 are directly connected on subnet 10.1.12.0/30 but cannot form OSPF adjacency. Routes are not exchanging.","OSPF Area mismatch: R1 has link 10.1.12.0/30 in Area 0, while R2 has the same link in Area 1.",CHECK_OSPF_NEIGHBOR,99%,Accepted,"Clear evidence in debug logs and running-config. Verified Area 0 alignment."
NET-CASE-007,Missing Default Route on Edge Router to ISP,Routing,Layer 3,High,"Internal hosts can communicate across all internal subnets but cannot reach public IPs like 8.8.8.8 or 1.1.1.1.","Missing static default route (0.0.0.0 0.0.0.0) pointing to next-hop ISP gateway 203.0.113.1.",CHECK_DEFAULT_ROUTE,98%,Accepted,"Directly resolves the missing default route. Verified ISP next hop is reachable."
NET-CASE-008,NAT Inside Interface Configuration Missing,NAT,Layer 3,Critical,"LAN users cannot browse internet. Edge router has default route and ping to ISP succeeds from router, but client translation table remains empty.","Interface GigabitEthernet0/0 is missing the command 'ip nat inside'.",CHECK_NAT_OVERLOAD,98%,Accepted,"Verified. Inside interface was omitted during initial configuration."
NET-CASE-009,DNS Server IP Typo in DHCP Scope,DNS,Layer 7,Medium,"Clients can ping public IPs (e.g. 8.8.8.8) but cannot resolve domain names like www.cisco.com.","DHCP scope hands out unreachable DNS server IP 192.168.1.254 instead of public DNS 8.8.8.8 or company DNS.",CHECK_DNS_UNREACHABLE,94%,Accepted,"Verified. Fixed DNS server parameter in DHCP pool."
NET-CASE-010,Trunk Port Native VLAN Mismatch Causing CDP Warnings & Traffic Leak,VLAN,Layer 2,High,"Console displays '%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with Switch-2 GigabitEthernet0/1 (1)' repeatedly.","Native VLAN mismatch across 802.1Q trunk: Switch-1 uses Native VLAN 99, while Switch-2 uses Native VLAN 1.",CHECK_VLAN_TRUNK,99%,Accepted,"Native VLAN must match on both ends of an 802.1Q trunk. Fix is 100% accurate."
